gender,age,zip code,education,role,salary
Female,54,16137,Doctorate,Compensation and Benefits Specialist,17056
Male,56,16144,Doctorate,Software Engineer,18045
Female,48,16131,Masters,Legal Consultant,14027
Male,43,16127,High School Graduate,Customer Service Representative,11541
Male,33,16128,High School Graduate,Sales Support Specialist,6554
Female,25,16138,Masters,Customer Service Representative,2540
Female,48,16129,Masters,Executive Assistant,14040
Male,29,16145,High School Graduate,Sales Representative,4545
Female,27,16131,Masters,Legal Consultant,3556
Male,30,16143,Bachelors,Marketing Specialist,5034
Male,34,16142,High School Graduate,Executive Assistant,7032
Female,51,16138,Bachelors,Project Manager,15553
Male,58,16138,Bachelors,Accountant,19036
Female,36,16132,Masters,Training and Development Specialist,8036
Male,25,16148,Bachelors,Human Resource Recruiter,2559
Female,41,16134,Masters,Administrative Assistant,10553
Male,55,16142,High School Graduate,Project Manager,17547
Male,35,16140,Bachelors,Compensation and Benefits Specialist,7556
Male,51,16136,Masters,Project Manager,15557
Male,31,16139,Bachelors,Sales Support Specialist,5551
Female,47,16121,Masters,Training and Development Specialist,13530
Female,56,16126,High School Graduate,Customer Service Representative,18033
Male,46,16137,Bachelors,Data Analyst,13041
Male,46,16137,Bachelors,Finance Analyst,13034
Female,55,16134,High School Graduate,Marketing Specialist,17526
Female,43,16133,High School Graduate,Training and Development Specialist,11530
Female,31,16143,High School Graduate,Executive Assistant,5543
Female,50,16145,Bachelors,Compensation and Benefits Specialist,15037
Male,41,16128,Masters,Team Leader,10538
Male,58,16138,High School Graduate,Administrative Assistant,19052
Male,48,16145,Masters,IT Specialist,14032
Female,49,16129,Bachelors,Training and Development Specialist,14537
Female,28,16148,Masters,Training and Development Specialist,4047
Male,43,16135,High School Graduate,Training and Development Specialist,11554
Male,50,16140,High School Graduate,Compensation and Benefits Specialist,15053
Male,53,16135,Bachelors,IT Specialist,16555
Male,50,16125,High School Graduate,Sales Support Specialist,15035
Male,44,16147,High School Graduate,Sales Representative,12026
Male,49,16144,High School Graduate,Finance Analyst,14541
Male,43,16143,Doctorate,Project Manager,11557
Female,51,16131,Masters,Sales Representative,15537
Male,37,16149,Doctorate,Administrative Assistant,8546
Female,45,16140,Bachelors,Executive Assistant,12528
Female,50,16124,High School Graduate,Sales Representative,15045
Female,51,16148,Bachelors,Project Manager,15545
Female,47,16147,Bachelors,Executive Assistant,13530
Male,34,16138,High School Graduate,Customer Service Representative,7053
Male,36,16143,Bachelors,Training and Development Specialist,8047
Male,49,16134,Masters,Legal Consultant,14537
Female,36,16137,Masters,Marketing Specialist,8037
Male,28,16149,Bachelors,Administrative Assistant,4028
Female,36,16133,Masters,Legal Consultant,8031
Male,42,16128,High School Graduate,Finance Analyst,11049
Male,35,16125,Masters,Human Resource Recruiter,7535
Male,46,16149,Bachelors,IT Specialist,13027
Female,57,16128,High School Graduate,Customer Service Representative,18550
Female,31,16136,Masters,Legal Consultant,5552
Male,58,16147,Bachelors,Finance Analyst,19033
Male,59,16140,Bachelors,Marketing Specialist,19543
Female,47,16145,Bachelors,Project Manager,13543
Male,38,16126,High School Graduate,Customer Service Representative,9043
Male,60,16125,Masters,Legal Consultant,20058
Female,52,16125,Masters,Human Resource Recruiter,16046
Female,55,16147,Masters,Manager,17545
Female,46,16129,High School Graduate,Project Manager,13047
Female,51,16136,High School Graduate,Customer Service Representative,15560
Female,41,16127,Doctorate,Manager,10545
Female,52,16146,Doctorate,Human Resource Recruiter,16036
Male,49,16124,Masters,Sales Representative,14554
Male,54,16134,Masters,Project Manager,17055
Male,40,16145,Masters,Team Leader,10037
Male,56,16121,Doctorate,Project Manager,18049
Female,59,16148,Doctorate,Project Manager,19550
Female,58,16142,High School Graduate,Accountant,19052
Female,36,16146,Doctorate,Team Leader,8055
Female,53,16141,Doctorate,Manager,16544
Female,55,16135,High School Graduate,Compensation and Benefits Specialist,17544
Male,40,16138,Bachelors,Project Manager,10052
Female,36,16138,High School Graduate,Marketing Specialist,8046
Male,45,16127,Masters,Manager,12555
Male,60,16129,Bachelors,Compensation and Benefits Specialist,20049
Female,45,16144,Masters,Legal Consultant,12533
Female,51,16138,Bachelors,Team Leader,15551
